,,,,Execution Time,Execution Time,Execution Time,Execution Time,Guesses,Guesses,Guesses,Guesses,Backtracks,Backtracks,Backtracks,Backtracks
,,,,min,max,mean,count,min,max,mean,count,min,max,mean,count
algorithm,search,guess,Zeros,,,,,,,,,,,,
backtracking,3,1,40.0,0.0590557999676093,0.4236056000227108,0.15086041799513616,50,89.0,15494.0,3843.32,50,49.0,15454.0,3803.32,50
backtracking,3,1,41.0,0.0607028000522404,1.1305978999589568,0.21498470399528738,50,95.0,43734.0,6542.34,50,54.0,43693.0,6501.34,50
backtracking,3,1,42.0,0.0677055999985896,1.8646102999919092,0.41679940000176424,50,396.0,76035.0,15069.18,50,354.0,75993.0,15027.18,50
backtracking,3,1,43.0,0.0617239999701269,4.027889899967704,0.5204803679988254,50,172.0,169254.0,19339.54,50,129.0,169211.0,19296.54,50
backtracking,3,1,44.0,0.0791833000257611,6.622465600026771,1.4228648040094414,50,891.0,267461.0,57359.28,50,847.0,267417.0,57315.28,50
backtracking,3,1,45.0,0.0671983000356704,18.48670160002075,2.493598589999601,50,356.0,793206.0,100675.96,50,311.0,793161.0,100630.96,50
backtracking,3,2,24.0,0.057378500001505,0.0687837000004947,0.06245600599911991,50,24.0,105.0,40.14,50,0.0,81.0,16.14,50
backtracking,3,2,25.0,0.0589444000506773,0.0771799000212922,0.06303355999989431,50,25.0,71.0,36.46,50,0.0,46.0,11.46,50
backtracking,3,2,26.0,0.0582759999670088,0.0692530000233091,0.06275419000186953,50,26.0,187.0,45.48,50,0.0,161.0,19.48,50
backtracking,3,2,27.0,0.0604961999924853,0.0706544999848119,0.06327079599956047,50,27.0,245.0,59.8,50,0.0,218.0,32.8,50
backtracking,3,2,28.0,0.0588715000194497,0.0763098999741487,0.06325739199761297,50,28.0,157.0,51.72,50,0.0,129.0,23.72,50
backtracking,3,2,29.0,0.0589755999972112,0.0726348999887704,0.06317439999897029,50,29.0,249.0,68.22,50,0.0,220.0,39.22,50
backtracking,3,2,30.0,0.0592855000286363,0.0892087999964132,0.0649548859975766,50,30.0,287.0,93.28,50,0.0,257.0,63.28,50
backtracking,3,2,31.0,0.0579248999711126,0.0865355000132694,0.06544156800489867,50,31.0,509.0,137.76,50,0.0,478.0,106.76,50
backtracking,3,2,32.0,0.0605806999956257,0.0784899999853223,0.06505882600555192,50,32.0,641.0,136.32,50,0.0,609.0,104.32,50
backtracking,3,2,33.0,0.0585181000060401,0.0885444000014103,0.06845254199346523,50,33.0,966.0,244.04,50,0.0,933.0,211.04,50
backtracking,3,2,34.0,0.0599444000399671,0.1280140000162646,0.07168362400494512,50,34.0,2145.0,311.84,50,0.0,2111.0,277.84,50
backtracking,3,2,35.0,0.0614243000163696,0.1028348000254482,0.06987294199760066,50,35.0,1359.0,245.2,50,0.0,1324.0,210.2,50
backtracking,3,2,36.0,0.0621134000248275,0.1832447999622672,0.0837314019957557,50,65.0,3944.0,745.24,50,29.0,3908.0,709.24,50
backtracking,3,2,37.0,0.0604331999784335,0.1803922999533824,0.08232118200277906,50,47.0,4148.0,737.78,50,10.0,4111.0,700.78,50
backtracking,3,2,38.0,0.0604284000000916,0.3072157999849878,0.09415743999765251,50,54.0,8361.0,1160.12,50,16.0,8323.0,1122.12,50
backtracking,3,2,39.0,0.0594156999723054,0.4162666999618522,0.12587045200052668,50,49.0,12186.0,2212.54,50,10.0,12147.0,2173.54,50
backtracking,3,2,40.0,0.0703024999820627,1.0243706000037491,0.19329999599838626,50,323.0,30796.0,4303.06,50,283.0,30756.0,4263.06,50
backtracking,3,2,41.0,0.0635159999947063,1.6303835000144316,0.31013160999631506,50,161.0,52536.0,8139.82,50,120.0,52495.0,8098.82,50
backtracking,3,2,42.0,0.0661008000024594,2.753631299943663,0.47190606599673623,50,83.0,88336.0,13414.7,50,41.0,88294.0,13372.7,50
backtracking,3,2,43.0,0.0709147999878041,23.629522899980657,1.421222617996391,50,342.0,809988.0,45374.78,50,299.0,809945.0,45331.78,50
backtracking,3,2,44.0,0.0680568999960087,10.54154100001324,1.7250152619997972,50,297.0,353537.0,55404.9,50,253.0,353493.0,55360.9,50
