algorithm,search,guess,Zeros,Execution Timemin,Execution Timemax,Execution Timemean,Execution Timecount,Guessesmin,Guessesmax,Guessesmean,Guessescount,Backtracksmin,Backtracksmax,Backtracksmean,Backtrackscount
backtracking,byCircularBox,Sequential,36,0.0125921,0.0306734,0.0202085,3,42,942,344.6666667,3,6,906,308.6666667,3
backtracking,byCircularBox,Sequential,37,0.0129855,0.0159095,0.014053255,11,46,110,69.54545455,11,9,73,32.54545455,11
backtracking,byCircularBox,Sequential,38,0.012644,0.0222363,0.015257918,22,42,229,84.22727273,22,4,191,46.22727273,22
backtracking,byCircularBox,Sequential,39,0.0126776,0.0212017,0.015019293,67,39,411,94.44776119,67,0,372,55.44776119,67
backtracking,byCircularBox,Sequential,40,0.0127288,0.0290754,0.015537893,109,40,578,118.6605505,109,0,538,78.66055046,109
backtracking,byCircularBox,Sequential,41,0.0127074,0.032088,0.016106234,127,44,739,146.8267717,127,3,698,105.8267717,127
backtracking,byCircularBox,Sequential,42,0.012741,0.0704154,0.016859218,125,43,2969,194.888,125,1,2927,152.888,125
backtracking,byCircularBox,Sequential,43,0.0129255,0.0496535,0.016807601,140,43,2009,207.4142857,140,0,1966,164.4142857,140
backtracking,byCircularBox,Sequential,44,0.012877,0.0755262,0.018009398,111,44,3399,259.4684685,111,0,3355,215.4684685,111
backtracking,byCircularBox,Sequential,45,0.0127418,0.0651605,0.018329891,175,46,2454,266.9542857,175,1,2409,221.9542857,175
backtracking,byCircularBox,Sequential,46,0.0130526,0.0820509,0.020244191,110,56,3370,377.9,110,10,3324,331.9,110
backtracking,byCircularBox,Random,36,0.0130065,0.0373057,0.021363567,3,46,920,337.6666667,3,10,884,301.6666667,3
backtracking,byCircularBox,Random,37,0.0133345,0.0176081,0.0145685,11,41,196,90.18181818,11,4,159,53.18181818,11
backtracking,byCircularBox,Random,38,0.013174,0.0199576,0.014853891,22,44,327,101.8181818,22,6,289,63.81818182,22
backtracking,byCircularBox,Random,39,0.0130755,0.0356225,0.015327815,67,41,900,124.4776119,67,2,861,85.47761194,67
backtracking,byCircularBox,Random,40,0.0132079,0.0492385,0.016578633,109,40,1544,174.4862385,109,0,1504,134.4862385,109
backtracking,byCircularBox,Random,41,0.0129439,0.0546344,0.018870519,127,41,1608,255.5748031,127,0,1567,214.5748031,127
backtracking,byCircularBox,Random,42,0.0131087,0.1320963,0.020313228,125,47,4481,314.608,125,5,4439,272.608,125
backtracking,byCircularBox,Random,43,0.012914,0.0682218,0.019585964,140,46,2155,292.2357143,140,3,2112,249.2357143,140
backtracking,byCircularBox,Random,44,0.0131029,0.2967545,0.023988014,111,45,10789,460.4144144,111,1,10745,416.4144144,111
backtracking,byCircularBox,Random,45,0.0131918,0.0997326,0.023770647,175,50,3515,456.9714286,175,5,3470,411.9714286,175
backtracking,byCircularBox,Random,46,0.0135142,0.1883855,0.028317869,110,55,7057,634.5454545,110,9,7011,588.5454545,110
backtracking,bySemiZigZagBox,Sequential,36,0.012898,0.0134644,0.013201367,3,40,63,52,3,4,27,16,3
backtracking,bySemiZigZagBox,Sequential,37,0.0128842,0.0136272,0.013274355,11,39,82,53.27272727,11,2,45,16.27272727,11
backtracking,bySemiZigZagBox,Sequential,38,0.0126285,0.0188977,0.014270336,22,39,388,118.4090909,22,1,350,80.40909091,22
backtracking,bySemiZigZagBox,Sequential,39,0.0126626,0.022649,0.01372461,67,39,626,86.08955224,67,0,587,47.08955224,67
backtracking,bySemiZigZagBox,Sequential,40,0.0126775,0.0296855,0.013841032,109,40,980,90.35779817,109,0,940,50.35779817,109
backtracking,bySemiZigZagBox,Sequential,41,0.0125193,0.0326433,0.014317165,127,41,1301,121.503937,127,0,1260,80.50393701,127
backtracking,bySemiZigZagBox,Sequential,42,0.0126426,0.0340065,0.014571479,125,42,1256,133.992,125,0,1214,91.992,125
backtracking,bySemiZigZagBox,Sequential,43,0.012614,0.0892178,0.015796167,140,43,4454,202.3785714,140,0,4411,159.3785714,140
backtracking,bySemiZigZagBox,Sequential,44,0.0128145,0.0472789,0.015181964,111,45,1938,166.972973,111,1,1894,122.972973,111
backtracking,bySemiZigZagBox,Sequential,45,0.0127438,0.0471275,0.016762091,175,48,2065,260.4171429,175,3,2020,215.4171429,175
backtracking,bySemiZigZagBox,Sequential,46,0.0125071,0.064764,0.017566128,110,47,2888,302.1363636,110,1,2842,256.1363636,110
backtracking,bySemiZigZagBox,Random,36,0.0142381,0.0155386,0.015063867,3,58,139,107.3333333,3,22,103,71.33333333,3
backtracking,bySemiZigZagBox,Random,37,0.0129857,0.0154712,0.014037345,11,38,147,70,11,1,110,33,11
backtracking,bySemiZigZagBox,Random,38,0.0133833,0.0224247,0.015700723,22,47,391,142.8181818,22,9,353,104.8181818,22
